7.65891,	1273,	-1270,	-14
7.70912,	1051,	-1048,	-12
7.75930,	833,	-831,	-11
7.80955,	623,	-620,	-12
7.85979,	421,	-419,	-11
7.90999,	233,	-230,	-10
7.96020,	59,	-57,	-9
8.01038,	-93,	95,	-9
8.06048,	-177,	179,	-9
8.11059,	-188,	187,	-9
8.16077,	-146,	146,	-10
8.21094,	-60,	59,	-9
8.26112,	68,	-69,	-9
8.31135,	228,	-228,	-8
8.36153,	410,	-411,	-7
8.41166,	610,	-610,	-6
8.46183,	822,	-823,	-7
8.51201,	1046,	-1047,	-7
8.56220,	1274,	-1275,	-7
8.61240,	1500,	-1501,	-9
8.66252,	1722,	-1723,	-11
8.71264,	1940,	-1940,	-12
8.76280,	2152,	-2152,	-12
8.81292,	2356,	-2357,	-13
8.86301,	2554,	-2554,	-14
8.91315,	2738,	-2739,	-15
8.96332,	2906,	-2907,	-15
9.01351,	3054,	-3055,	-15
9.06367,	3122,	-3122,	-14
9.11382,	3123,	-3121,	-13
9.16393,	3079,	-3076,	-12
9.21411,	2989,	-2986,	-10
9.26422,	2861,	-2857,	-9
9.31442,	2699,	-2696,	-8
9.36462,	2513,	-2511,	-7
9.41478,	2311,	-2308,	-8
9.46492,	2093,	-2091,	-7
9.51500,	1867,	-1864,	-8
9.56518,	1633,	-1631,	-7
9.61528,	1403,	-1400,	-8
9.66550,	1175,	-1173,	-9
9.71570,	955,	-952,	-8
9.76587,	737,	-735,	-7
9.81608,	529,	-526,	-6
9.86627,	329,	-327,	-7
9.91644,	143,	-140,	-8
9.96656,	-29,	31,	-9
10.01666,	-175,	178,	-10
10.06682,	-243,	246,	-10
10.11699,	-242,	242,	-10
10.16710,	-190,	190,	-10
10.21722,	-98,	97,	-11
10.26740,	36,	-36,	-12
10.31753,	198,	-199,	-11
10.36773,	384,	-385,	-13
10.41792,	586,	-586,	-14
10.46807,	800,	-801,	-13
10.51827,	1024,	-1026,	-14
10.56840,	1252,	-1253,	-13
10.61847,	1478,	-1479,	-15
10.66858,	1700,	-1700,	-16
10.71879,	1916,	-1917,	-17
10.76891,	2128,	-2128,	-16
10.81910,	2332,	-2332,	-16
10.86927,	2526,	-2527,	-15
10.91950,	2710,	-2711,	-15
10.96969,	2878,	-2878,	-14
11.01980,	3022,	-3022,	-14
11.06995,	3086,	-3087,	-15
11.12016,	3085,	-3082,	-14
11.17016,	3033,	-3031,	-15
11.22021,	2939,	-2937,	-17
11.27027,	2807,	-2804,	-16
11.32032,	2641,	-2639,	-15
11.37035,	2455,	-2452,	-16
11.42040,	2249,	-2247,	-15
11.47042,	2031,	-2029,	-17
11.52047,	1803,	-1801,	-17
11.57048,	1571,	-1568,	-16
11.62050,	1339,	-1337,	-17
11.67058,	1113,	-1111,	-19
11.72060,	893,	-890,	-18
11.77063,	677,	-674,	-18
11.82065,	469,	-466,	-18
11.87067,	269,	-267,	-19
11.92071,	83,	-81,	-21
11.97072,	-85,	88,	-20
12.02075,	-229,	231,	-21
